id_n,Year,income_wage_l,income_dividends_c,income_interest_c,total_gross_income,pitax_w,pitax_c,pitax
10156,2018,0,0,0,0,0,0,0
14069,2018,0,0,0,0,0,0,0
14516,2018,25679,0,0,25679,2568,0,2568
9355,2018,0,0,0,0,0,0,0
10194,2018,0,0,0,0,0,0,0
3534,2018,3722,0,0,3722,372,0,372
2554,2018,0,0,0,0,0,0,0
7215,2018,0,150,0,150,0,15,15
10040,2018,0,0,0,0,0,0,0
208,2018,0,0,0,0,0,0,0
11813,2018,0,0,0,0,0,0,0
4929,2018,0,0,0,0,0,0,0
14486,2018,12032,0,0,12032,1203,0,1203
10288,2018,0,0,0,0,0,0,0
2283,2018,0,0,0,0,0,0,0
5642,2018,0,0,0,0,0,0,0
8721,2018,16973,0,0,16973,1697,0,1697
15014,2018,0,0,0,0,0,0,0
12952,2018,50554,0,0,50554,5055,0,5055
7679,2018,0,0,0,0,0,0,0
1897,2018,0,0,0,0,0,0,0
10314,2018,0,0,0,0,0,0,0
3931,2018,0,0,0,0,0,0,0
8214,2018,0,0,0,0,0,0,0
15221,2018,2880,0,0,2880,288,0,288
9405,2018,29961,0,0,29961,2996,0,2996
7689,2018,0,0,0,0,0,0,0
14189,2018,0,0,0,0,0,0,0
12086,2018,0,0,0,0,0,0,0
8648,2018,0,0,0,0,0,0,0
10265,2018,0,0,0,0,0,0,0
3624,2018,0,0,0,0,0,0,0
4644,2018,0,0,0,0,0,0,0
14786,2018,20695,0,0,20695,2070,0,2070
12739,2018,0,0,0,0,0,0,0
1489,2018,0,0,0,0,0,0,0
1665,2018,0,0,0,0,0,0,0
6691,2018,0,0,0,0,0,0,0
6717,2018,0,0,0,0,0,0,0
14568,2018,0,0,0,0,0,0,0
8273,2018,0,0,0,0,0,0,0
13226,2018,65532,0,0,65532,6553,0,6553
15029,2018,0,0,0,0,0,0,0
15285,2018,61663,0,0,61663,6166,0,6166
12925,2018,69230,0,0,69230,6923,0,6923
10540,2018,17423,0,0,17423,1742,0,1742
8886,2018,0,0,0,0,0,0,0
2806,2018,0,0,0,0,0,0,0
3,2018,0,0,0,0,0,0,0
14200,2018,0,0,0,0,0,0,0
3856,2018,0,0,0,0,0,0,0
2723,2018,13696,0,0,13696,1370,0,1370
6760,2018,0,0,0,0,0,0,0
13212,2018,32869,0,0,32869,3287,0,3287
13491,2018,22320,0,0,22320,2232,0,2232
5832,2018,0,61,0,61,0,6,6
15153,2018,15725,0,0,15725,1572,0,1572
4496,2018,0,0,0,0,0,0,0
6783,2018,0,0,0,0,0,0,0
6839,2018,0,0,0,0,0,0,0
12323,2018,0,0,0,0,0,0,0
15391,2018,0,0,0,0,0,0,0
14345,2018,0,0,0,0,0,0,0
4629,2018,0,8581,0,8581,0,858,858
13247,2018,30797,0,0,30797,3080,0,3080
14668,2018,42802,0,0,42802,4280,0,4280
3254,2018,0,0,0,0,0,0,0
15233,2018,0,28080,0,28080,0,2808,2808
9399,2018,47591,0,0,47591,4759,0,4759
6323,2018,0,0,0,0,0,0,0
3788,2018,0,0,0,0,0,0,0
1790,2018,0,0,0,0,0,0,0
6072,2018,0,0,0,0,0,0,0
6092,2018,0,0,0,0,0,0,0
12804,2018,0,0,0,0,0,0,0
12229,2018,0,0,0,0,0,0,0
6105,2018,0,0,0,0,0,0,0
4083,2018,3728,0,0,3728,373,0,373
6734,2018,6957,0,0,6957,696,0,696
14432,2018,36519,0,0,36519,3652,0,3652
15185,2018,28921,0,0,28921,2892,0,2892
12778,2018,0,0,0,0,0,0,0
12064,2018,0,0,0,0,0,0,0
4777,2018,0,0,0,0,0,0,0
5397,2018,11329,0,0,11329,1133,0,1133
5747,2018,0,0,0,0,0,0,0
11609,2018,51744,0,0,51744,5174,0,5174
2372,2018,0,0,0,0,0,0,0
13476,2018,51360,0,0,51360,5136,0,5136
10246,2018,59057,0,0,59057,5906,0,5906
1065,2018,0,0,0,0,0,0,0
917,2018,0,0,0,0,0,0,0
2520,2018,0,0,0,0,0,0,0
