field_name,long_name,description,itr_ref,notes,row_var,row_label,start_year,cpi_inflatable,cpi_inflated,col_var,col_label,boolean_value,integer_value,value,range,min,max,out_of_range_minmsg,out_of_range_maxmsg,out_of_range_action
_General_Rate,General Rate,General Rate,Income Tax Act,,AYEAR,2024,2024,FALSE,FALSE,,,FALSE,FALSE,0.3,,0,1,,,stop
_Non-Resident_PE_Rate,Non-Resident PE Rate,Non-Resident PE Rate,Income Tax Act,,AYEAR,2024,2024,FALSE,FALSE,,,FALSE,FALSE,0.3,,0,1,,,stop
_EPZ_First_10_Years_Preferential_Rate,EPZ First 10 Years Preferential Rate,EPZ First 10 Years Preferential Rate,Income Tax Act,,AYEAR,2024,2024,FALSE,FALSE,,,FALSE,FALSE,0.0,,0,1,,,stop
_EPZ_Next_10_Years_Preferential_Rate,EPZ Next 10 Years Preferential Rate,EPZ Next 10 Years Preferential Rate,Income Tax Act,,AYEAR,2024,2024,FALSE,FALSE,,,FALSE,FALSE,0.3,,0,1,,,stop
_SEZ_First_10_Years_Preferential_Rate,SEZ First 10 Years Preferential Rate,SEZ First 10 Years Preferential Rate,Income Tax Act,,AYEAR,2024,2024,FALSE,FALSE,,,FALSE,FALSE,0.1,,0,1,,,stop
_SEZ_Next_10_Years_Preferential_Rate,SEZ Next 10 Years Preferential Rate,SEZ Next 10 Years Preferential Rate,Income Tax Act,,AYEAR,2024,2024,FALSE,FALSE,,,FALSE,FALSE,0.2,,0,1,,,stop
_Local_Motor_Assembly_Rate,Local Motor Assembly Rate,Local Motor Assembly Rate,Income Tax Act,,AYEAR,2024,2024,FALSE,FALSE,,,FALSE,FALSE,0.2,,0,1,,,stop
_Rental_Income_100_Units_rate,Rental Income 100 Units rate,Rental Income 100 Units rate,Income Tax Act,,AYEAR,2024,2024,FALSE,FALSE,,,FALSE,FALSE,0.2,,0,1,,,stop
_CIT_Rate_(Preferential)_for_plastic_recycling_plants,CIT Rate (Preferential) for plastic recycling plants,CIT Rate (Preferential) for plastic recycling plants,Income Tax Act,,AYEAR,2024,2024,FALSE,FALSE,,,FALSE,FALSE,0.2,,0,1,,,stop
_Other_Preferential_Tax_Rates,Other Preferential Tax Rates,Other Preferential Tax Rates,Income Tax Act,,AYEAR,2024,2024,FALSE,FALSE,,,FALSE,FALSE,1.0,,0,1,,,stop
_Gross_income_NR_Transmission_of_messages,Gross income NR Transmission of messages,Gross income NR Transmission of messages,Income Tax Act,,AYEAR,2024,2024,FALSE,FALSE,,,FALSE,FALSE,0.1,,0,1,,,stop
_Gross_income_NR_Ships,Gross income NR Ships,Gross income NR Ships,Income Tax Act,,AYEAR,2024,2024,FALSE,FALSE,,,FALSE,FALSE,0.0,,0,1,,,stop
_Lower_CIT_Rate_-_SEZ,Lower CIT Rate - SEZ,Lower CIT Rate - SEZ,Income Tax Act,,AYEAR,2024,2024,FALSE,FALSE,,,FALSE,FALSE,1.0,,0,1,,,stop
_Exempt_Income,Exempt Income,Exempt Income,Income Tax Act,,AYEAR,2024,2024,FALSE,FALSE,,,FALSE,FALSE,1.0,,0,1,,,stop
_Disallowed_Deductions__(section_4),Disallowed Deductions  (section 4),Disallowed Deductions  (section 4),Income Tax Act,,AYEAR,2024,2024,FALSE,FALSE,,,FALSE,FALSE,,,0,1,,,stop
_depreciation_by_asset,depreciation by asset,depreciation by asset,Income Tax Act,,AYEAR,2024,2024,FALSE,FALSE,,,FALSE,FALSE,1.0,,0,1,,,stop
_Entertainment_expenses,Entertainment expenses,Entertainment expenses,Income Tax Act,,AYEAR,2024,2024,FALSE,FALSE,,,FALSE,FALSE,1.0,,0,1,,,stop
_Non-Deductibility_of_expenses_related_to_exempt_income,Non-Deductibility of expenses related to exempt income,Non-Deductibility of expenses related to exempt income,Income Tax Act,,AYEAR,2024,2024,FALSE,FALSE,,,FALSE,FALSE,1.0,,0,1,,,stop
_Loss_on_disposal_of_dep._Assets,Loss on disposal of dep. Assets,Loss on disposal of dep. Assets,Income Tax Act,,AYEAR,2024,2024,FALSE,FALSE,,,FALSE,FALSE,1.0,,0,1,,,stop
_Max_share_of_disposal_assets,Max share of disposal assets,Max share of disposal assets,Income Tax Act,,AYEAR,2024,2024,FALSE,FALSE,,,FALSE,FALSE,1.0,,0,1,,,stop
_Balancing_charges,Balancing charges,Balancing charges,Income Tax Act,,AYEAR,2024,2024,FALSE,FALSE,,,FALSE,FALSE,1.0,,0,1,,,stop
_Disallowed_Donations,Disallowed Donations,Disallowed Donations,Income Tax Act,,AYEAR,2024,2024,FALSE,FALSE,,,FALSE,FALSE,1.0,,0,1,,,stop
