,weight,total_income,pitax,table_row
76039,20.96207025411061,0.0,0.0,1
54139,20.96207025411061,0.0,0.0,1
99923,20.96207025411061,0.0,0.0,1
72975,20.96207025411061,0.0,0.0,1
76063,20.96207025411061,0.0,0.0,1
69432,20.96207025411061,0.0,0.0,1
42531,20.96207025411061,0.0,0.0,1
92815,20.96207025411061,0.0,0.0,1
82305,20.96207025411061,0.0,0.0,1
54187,20.96207025411061,0.0,0.0,1
37774,20.96207025411061,0.0,0.0,1
81086,20.96207025411061,0.0,0.0,1
57434,20.96207025411061,0.0,0.0,1
8708,20.96207025411061,0.0,0.0,1
47432,20.96207025411061,0.0,0.0,1
69439,20.96207025411061,0.0,0.0,1
28766,20.96207025411061,0.0,0.0,1
23352,20.96207025411061,0.0,0.0,1
59747,20.96207025411061,0.0,0.0,1
86095,20.96207025411061,0.0,0.0,1
63001,20.96207025411061,0.0,0.0,1
16204,20.96207025411061,0.0,0.0,1
16201,20.96207025411061,0.0,0.0,1
58242,20.96207025411061,0.0,0.0,1
76019,20.96207025411061,0.0,0.0,1
37490,20.96207025411061,0.0,0.0,1
29,20.96207025411061,0.0,0.0,1
91543,20.96207025411061,0.0,0.0,1
76053,20.96207025411061,0.0,0.0,1
33,20.96207025411061,0.0,0.0,1
99990,20.96207025411061,0.0,0.0,1
99993,20.96207025411061,0.0,0.0,1
54119,20.96207025411061,0.0,0.0,1
37529,20.96207025411061,0.0,0.0,1
76070,20.96207025411061,0.0,0.0,1
64781,20.96207025411061,0.0,0.0,1
42476,20.96207025411061,0.0,0.0,1
98361,20.96207025411061,0.0,0.0,1
63244,20.96207025411061,0.0,0.0,1
35201,20.96207025411061,0.0,0.0,1
18935,20.96207025411061,0.0,0.0,1
46062,20.96207025411061,0.0,0.0,1
95917,20.96207025411061,0.0,0.0,1
16249,20.96207025411061,0.0,0.0,1
16248,20.96207025411061,0.0,0.0,1
74298,20.96207025411061,0.0,0.0,1
16222,20.96207025411061,0.0,0.0,1
61297,20.96207025411061,0.0,0.0,1
23399,20.96207025411061,0.0,0.0,1
71447,20.96207025411061,0.0,0.0,1
28706,20.96207025411061,0.0,0.0,1
69446,20.96207025411061,0.0,0.0,1
12725,20.96207025411061,0.0,0.0,1
47964,20.96207025411061,0.0,0.0,1
7076,20.96207025411061,0.0,0.0,1
21640,20.96207025411061,0.0,0.0,1
90399,20.96207025411061,0.0,0.0,1
90396,20.96207025411061,0.0,0.0,1
21629,20.96207025411061,0.0,0.0,1
9282,20.96207025411061,0.0,0.0,1
82328,20.96207025411061,0.0,0.0,1
82325,20.96207025411061,0.0,0.0,1
152,20.96207025411061,0.0,0.0,1
131,20.96207025411061,0.0,0.0,1
92763,20.96207025411061,0.0,0.0,1
92833,20.96207025411061,0.0,0.0,1
16159,20.96207025411061,0.0,0.0,1
99911,20.96207025411061,0.0,0.0,1
94360,20.96207025411061,0.0,0.0,1
67372,20.96207025411061,0.0,0.0,1
67361,20.96207025411061,0.0,0.0,1
21622,20.96207025411061,0.0,0.0,1
21621,20.96207025411061,0.0,0.0,1
30866,20.96207025411061,0.0,0.0,1
84436,20.96207025411061,0.0,0.0,1
21607,20.96207025411061,0.0,0.0,1
90406,20.96207025411061,0.0,0.0,1
56479,20.96207025411061,0.0,0.0,1
95894,20.96207025411061,0.0,0.0,1
85118,20.96207025411061,0.0,0.0,1
8177,20.96207025411061,0.0,0.0,1
34472,20.96207025411061,0.0,0.0,1
87129,20.96207025411061,0.0,0.0,1
200,20.96207025411061,0.0,0.0,1
76083,20.96207025411061,0.0,0.0,1
76082,20.96207025411061,0.0,0.0,1
16153,20.96207025411061,0.0,0.0,1
58216,20.96207025411061,0.0,0.0,1
92750,20.96207025411061,0.0,0.0,1
66763,20.96207025411061,0.0,0.0,1
7037,20.96207025411061,0.0,0.0,1
7033,20.96207025411061,0.0,0.0,1
9355,20.96207025411061,0.0,0.0,1
33628,20.96207025411061,0.0,0.0,1
92860,20.96207025411061,0.0,0.0,1
61290,20.96207025411061,0.0,0.0,1
67386,20.96207025411061,0.0,0.0,1
99892,20.96207025411061,0.0,0.0,1
40010,20.96207025411061,0.0,0.0,1
39812,20.96207025411061,0.0,0.0,1
92848,20.96207025411061,0.0,0.0,1
62930,20.96207025411061,0.0,0.0,1
34487,20.96207025411061,0.0,0.0,1
8192,20.96207025411061,0.0,0.0,1
8190,20.96207025411061,0.0,0.0,1
96928,20.96207025411061,0.0,0.0,1
62922,20.96207025411061,0.0,0.0,1
73728,20.96207025411061,0.0,0.0,1
45980,20.96207025411061,0.0,0.0,1
22163,20.96207025411061,0.0,0.0,1
62804,20.96207025411061,0.0,0.0,1
47915,20.96207025411061,0.0,0.0,1
48051,20.96207025411061,0.0,0.0,1
35242,20.96207025411061,0.0,0.0,1
59539,20.96207025411061,0.0,0.0,1
79706,20.96207025411061,0.0,0.0,1
16108,20.96207025411061,0.0,0.0,1
84661,20.96207025411061,0.0,0.0,1
