,index,pitax_2025,pitax_ref_2025,pitax_ref_2026,pitax_ref_2027,pitax_ref_2028,pitax_ref_2029,pitax_ref_2030,pitax_ref_2031,pitax_ref_2032
0, 0-10n,0,0,0,0,0,0,0,0,0
1, 0-10z,0,0,0,0,0,0,0,0,0
2, 0-10p,0,0,0,0,0,1,5,9,15
3, 10-20,5,5,10,11,16,22,32,48,77
4, 20-30,"1,476","1,476","5,471",41,67,130,"1,339","5,700","13,992"
5, 30-40,"20,729","20,729","31,660","1,240","5,676","14,097","26,292","41,160","58,338"
6, 40-50,"53,902","53,902","69,542","22,819","37,140","54,085","72,611","95,172","121,765"
7, 50-60,"86,332","86,332","105,617","54,758","73,682","95,738","123,022","153,783","187,890"
8, 60-70,"128,145","128,145","151,998","99,548","127,129","158,254","192,784","230,998","273,285"
9, 70-80,"191,373","191,373","222,221","176,869","213,350","253,703","298,351","347,783","402,528"
10, 80-90,"310,408","310,408","354,524","324,625","376,871","434,931","499,032","570,676","652,028"
11, 90-100,"1,419,251","1,419,251","1,593,759","1,832,578","2,064,614","2,324,235","2,615,037","2,940,317","3,302,301"
12, ALL,"221,163","221,163","253,481","251,250","289,856","333,521","382,852","438,567","501,224"
13, 90-95,"589,240","589,240","666,083","672,903","769,595","879,795","1,006,096","1,149,556","1,308,911"
14, 95-99,"1,273,122","1,273,122","1,431,382","1,632,646","1,851,707","2,097,460","2,373,023","2,682,269","3,029,212"
15, Top 1%,"6,153,696","6,153,696","6,881,512","8,430,512","9,391,154","10,453,328","11,627,573","12,926,061","14,361,324"
