,index,pitax_2025,pitax_ref_2025,pitax_ref_2026,pitax_ref_2027,pitax_ref_2028,pitax_ref_2029,pitax_ref_2030,pitax_ref_2031,pitax_ref_2032
0,<0,0,0,0,0,0,0,0,0,0
1,=0,0,0,0,0,0,0,0,0,0
2,0-0.5 m,"6,149","6,149","6,028",19,19,21,16,15,16
3,0.5-1m,"71,622","71,622","72,033","27,013","26,698","24,633","22,745","18,990","18,210"
4,1-1.5m,"64,039","64,039","76,414","54,671","57,922","63,712","65,943","72,202","70,185"
5,1.5-2m,"37,950","37,950","43,791","42,679","53,929","65,127","71,984","74,322","77,717"
6,2-3m,"50,024","50,024","56,605","56,216","64,799","75,504","93,020","113,241","137,513"
7,3-4m,"40,381","40,381","44,993","43,374","46,370","50,434","58,833","67,974","81,225"
8,4-5m,"28,445","28,445","32,967","37,078","43,008","46,273","48,539","52,845","58,289"
9,5-10m,"71,134","71,134","84,587","101,533","119,133","140,155","163,346","186,759","209,580"
10,>10m,"138,873","138,873","165,524","215,227","254,715","301,154","356,037","422,245","499,951"
11,ALL,"508,618","508,618","582,942","577,810","666,594","767,013","880,462","1,008,591","1,152,687"
