,index,pitax_2024,pitax_ref_2024,pitax_ref_2025,pitax_ref_2026,pitax_ref_2027,pitax_ref_2028,pitax_ref_2029,pitax_ref_2030,pitax_ref_2031,pitax_ref_2032
0,<0,0,0,0,0,0,0,0,0,0,0
1,=0,0,0,0,0,0,0,0,0,0,0
2,0-0.5 m,"7,790","7,790","7,065","6,372",146,161,176,186,198,209
3,0.5-1m,"71,865","71,865","72,369","71,714","26,761","25,460","23,674","21,656","19,892","18,052"
4,1-1.5m,"71,530","71,530","81,395","88,249","63,657","65,920","68,090","69,362","67,741","64,672"
5,1.5-2m,"44,193","44,193","51,328","62,811","60,489","70,892","77,067","80,209","84,239","87,618"
6,2-3m,"56,579","56,579","65,637","75,326","77,097","89,775","106,788","128,373","149,492","169,113"
7,3-4m,"45,350","45,350","49,265","52,587","51,931","59,526","68,640","82,264","94,251","109,751"
8,4-5m,"31,556","31,556","37,874","44,752","48,713","51,231","55,642","59,568","68,428","83,231"
9,5-10m,"76,321","76,321","88,301","107,403","133,594","159,757","184,452","210,485","241,048","268,278"
10,>10m,"155,750","155,750","186,568","220,041","291,840","342,789","406,378","479,856","565,102","667,106"
11,ALL,"560,936","560,936","639,804","729,257","754,227","865,512","990,906","1,131,959","1,290,391","1,468,031"
