,weight_2025,pitax_2025,total_income_2025,weight_ref_2025,pitax_ref_2025,total_income_ref_2025,weight_ref_2026,pitax_ref_2026,total_income_ref_2026,weight_ref_2027,pitax_ref_2027,total_income_ref_2027,weight_ref_2028,pitax_ref_2028,total_income_ref_2028,weight_ref_2029,pitax_ref_2029,total_income_ref_2029,weight_ref_2030,pitax_ref_2030,total_income_ref_2030,weight_ref_2031,pitax_ref_2031,total_income_ref_2031,weight_ref_2032,pitax_ref_2032,total_income_ref_2032,ETR_2025,ETR_ref_2025,ETR_ref_2026,ETR_ref_2027,ETR_ref_2028,ETR_ref_2029,ETR_ref_2030,ETR_ref_2031,ETR_ref_2032
0,22950.0,0.0,109.0,22950.0,0.0,109.0,22950.0,0.0,121.0,22950.0,0.0,134.0,22950.0,0.0,148.0,22950.0,0.0,163.0,22950.0,0.0,181.0,22950.0,0.0,200.0,22950.0,0.0,221.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,23000.0,0.0,466.0,23000.0,0.0,466.0,23000.0,0.0,517.0,23000.0,0.0,572.0,23000.0,0.0,632.0,23000.0,0.0,698.0,23000.0,0.0,772.0,23000.0,0.0,853.0,23000.0,0.0,943.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,23000.0,0.0,814.0,23000.0,0.0,814.0,23000.0,0.0,903.0,23000.0,0.0,999.0,23000.0,0.0,1105.0,23000.0,0.0,1221.0,23000.0,0.0,1350.0,23000.0,0.0,1492.0,23000.0,0.0,1649.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,23000.0,0.0,1211.0,23000.0,0.0,1211.0,23000.0,0.0,1343.0,23000.0,0.0,1486.0,23000.0,0.0,1643.0,23000.0,0.0,1816.0,23000.0,0.0,2007.0,23000.0,0.0,2219.0,23000.0,0.0,2452.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,23000.0,0.0,1621.0,23000.0,0.0,1621.0,23000.0,0.0,1799.0,23000.0,0.0,1990.0,23000.0,0.0,2200.0,23000.0,0.0,2431.0,23000.0,0.0,2688.0,23000.0,0.0,2971.0,23000.0,0.0,3284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,23000.0,0.0,2041.0,23000.0,0.0,2041.0,23000.0,0.0,2265.0,23000.0,0.0,2506.0,23000.0,0.0,2770.0,23000.0,0.0,3061.0,23000.0,0.0,3384.0,23000.0,0.0,3741.0,23000.0,0.0,4135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,23000.0,0.0,2462.0,23000.0,0.0,2462.0,23000.0,0.0,2732.0,23000.0,0.0,3022.0,23000.0,0.0,3340.0,23000.0,0.0,3692.0,23000.0,0.0,4081.0,23000.0,0.0,4511.0,23000.0,0.0,4986.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,23000.0,0.0,2846.0,23000.0,0.0,2846.0,23000.0,0.0,3158.0,23000.0,0.0,3493.0,23000.0,0.0,3861.0,23000.0,0.0,4268.0,23000.0,0.0,4718.0,23000.0,1.0,5215.0,23000.0,1.0,5764.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019175455417066154,0.00017349063150589867
8,23000.0,0.0,3207.0,23000.0,0.0,3207.0,23000.0,0.0,3559.0,23000.0,0.0,3937.0,23000.0,0.0,4352.0,23000.0,0.0,4810.0,23000.0,0.0,5317.0,23000.0,0.0,5877.0,23000.0,1.0,6496.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001539408866995074
9,23000.0,0.0,3522.0,23000.0,0.0,3522.0,23000.0,0.0,3908.0,23000.0,0.0,4323.0,23000.0,0.0,4778.0,23000.0,0.0,5282.0,23000.0,0.0,5838.0,23000.0,1.0,6453.0,23000.0,1.0,7133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001549666821633349,0.00014019346698443852
