TAX_PAYER_ID,WT2024,WT2025,WT2026,WT2027,WT2028,WT2029,WT2030,WT2031,WT2032
105,1,1,1,1,1,1,1,1,1
211,1,1,1,1,1,1,1,1,1
234,1,1,1,1,1,1,1,1,1
439,1,1,1,1,1,1,1,1,1
441,1,1,1,1,1,1,1,1,1
445,1,1,1,1,1,1,1,1,1
552,1,1,1,1,1,1,1,1,1
658,1,1,1,1,1,1,1,1,1
659,1,1,1,1,1,1,1,1,1
660,1,1,1,1,1,1,1,1,1
661,1,1,1,1,1,1,1,1,1
662,1,1,1,1,1,1,1,1,1
674,1,1,1,1,1,1,1,1,1
678,1,1,1,1,1,1,1,1,1
679,1,1,1,1,1,1,1,1,1
680,1,1,1,1,1,1,1,1,1
716,1,1,1,1,1,1,1,1,1
822,1,1,1,1,1,1,1,1,1
828,1,1,1,1,1,1,1,1,1
1145,1,1,1,1,1,1,1,1,1
1146,1,1,1,1,1,1,1,1,1
1156,1,1,1,1,1,1,1,1,1
1274,1,1,1,1,1,1,1,1,1
1515,1,1,1,1,1,1,1,1,1
1519,1,1,1,1,1,1,1,1,1
1520,1,1,1,1,1,1,1,1,1
1525,1,1,1,1,1,1,1,1,1
1528,1,1,1,1,1,1,1,1,1
1529,1,1,1,1,1,1,1,1,1
1592,1,1,1,1,1,1,1,1,1
1593,1,1,1,1,1,1,1,1,1
1599,1,1,1,1,1,1,1,1,1
1741,1,1,1,1,1,1,1,1,1
1743,1,1,1,1,1,1,1,1,1
1753,1,1,1,1,1,1,1,1,1
2125,1,1,1,1,1,1,1,1,1
2319,1,1,1,1,1,1,1,1,1
2326,1,1,1,1,1,1,1,1,1
2504,1,1,1,1,1,1,1,1,1
2511,1,1,1,1,1,1,1,1,1
2670,1,1,1,1,1,1,1,1,1
2700,1,1,1,1,1,1,1,1,1
2786,1,1,1,1,1,1,1,1,1
2813,1,1,1,1,1,1,1,1,1
2834,1,1,1,1,1,1,1,1,1
2842,1,1,1,1,1,1,1,1,1
2901,1,1,1,1,1,1,1,1,1
3297,1,1,1,1,1,1,1,1,1
