,index,vatax_2024,vatax_ref_2024,vatax_ref_2025,vatax_ref_2026,vatax_ref_2027,vatax_ref_2028,vatax_ref_2029,vatax_ref_2030
0, 0-10n,0,0,0,0,0,0,0,0
1, 0-10z,0,0,0,0,0,0,0,0
2, 0-10p,"6,038","6,038","6,455","6,911","7,401","7,925","8,490","9,096"
3, 10-20,"3,487","3,487","3,727","3,991","4,274","4,576","4,903","5,253"
4, 20-30,"3,966","3,966","4,239","4,540","4,861","5,205","5,577","5,975"
5, 30-40,"4,645","4,645","4,965","5,317","5,693","6,096","6,532","6,998"
6, 40-50,"6,013","6,013","6,428","6,883","7,370","7,892","8,455","9,058"
7, 50-60,"6,604","6,604","7,060","7,560","8,095","8,668","9,287","9,950"
8, 60-70,"9,130","9,130","9,761","10,452","11,192","11,984","12,839","13,756"
9, 70-80,"10,345","10,345","11,059","11,842","12,680","13,578","14,547","15,585"
10, 80-90,"19,229","19,229","20,556","22,011","23,570","25,238","27,039","28,969"
11, 90-100,"36,451","36,451","38,968","41,726","44,680","47,843","51,258","54,917"
12, ALL,"10,592","10,592","11,323","12,124","12,983","13,902","14,894","15,957"
13, 90-95,"29,365","29,365","31,392","33,614","35,994","38,542","41,293","44,240"
14, 95-99,"38,338","38,338","40,985","43,886","46,993","50,320","53,911","57,759"
15, Top 1%,"64,244","64,244","68,678","73,540","78,746","84,321","90,339","96,788"
